focal_de1th,latitude,longitude,class
36,45.56,151.62,1
12,20,147.27,1
63,5.16,96.31,0
51,27.32,128.66,1
48,51.47,-178.32,0
109,-20.25,-68.83,1
184,-0.96,101.39,0
11,51.86,176.09,1
39,-15.33,-173.48,1
136,-58.36,-26.83,1
44,52.76,-166.9,1
28,-25.18,-70.54,1
38,54.44,-157.94,0
49,52.58,-168.13,1
33,40.67,30.69,0
160,6.84,-73.09,1
367,35.43,135.49,0
60,10.36,125.87,0
40,3.72,95.74,0
33,-60.84,-24.33,0
78,12.18,140.8,0
24,31.61,100.26,0
29,-10.59,-79.67,0
577,-27.62,-63.15,1
19,27.42,91.86,1
85,42.92,145.33,1
34,-57.82,-23.54,0
34,-49.57,163.93,1
126,-20.78,169.85,1
0,19.5,-60,1
20,-6.59,153.47,1
44,-5.66,153.92,1
605,-21.1,-179.18,0
60,-7.15,129.83,0
181,11.91,-85.98,0
0,73.4,54.42,1
73,24.43,122.25,0
0,-7.02,30.9,0
35,-28.78,-71.19,1
28,14.48,51.98,1
21,41.41,20.44,1
144,49.45,154.4,1
27,17.54,73.84,1
20,-21.89,-70.07,0
42,17.42,-61.19,0
5,17.61,-61.26,1
55,-5.25,153.7,1
91,-21.29,-68.2,0
33,-22.46,-174.61,1
80,-7.53,127.91,0
13,-9.29,158.46,0
29,-8.93,120.32,0
20,43.52,146.72,0
599,-6.1,113.36,0
46,-5.54,153.36,0
7,39.4,24.94,0
8,22.76,121.47,0
87,-16.13,-173.95,1
528,-6.59,116.18,1
37,32.48,132.28,0
40,32.24,132.21,1
12,33.22,-116.19,0
22,58.69,-149.93,0
30,43.58,-127.89,0
162,29.93,129.39,1
9,40.86,143.38,0
26,41.52,142.82,0
60,40.78,142.15,1
32,39.83,143.16,1
45,-30.86,-178.21,0
33,-30.84,-178.2,0
44,44.67,150.28,1
47,41.47,142.88,1
21,-41.72,172.03,0
618,-6.84,118.91,1
73,-2.98,139.34,0
45,44.48,150.19,1
27,-1.86,120.1,1
31,39.47,142.89,0
16,5.64,-82.6,1
26,41.06,143.1,1
33,-5.55,-77.2,0
33,-5.51,-77.3,1
68,36.01,139.33,1
72,-2.7,139.01,1
44,38.54,142.14,0
30,39.54,143.2,1
17,-30.97,-178.13,0
25,-0.27,133.47,0
36,-6.86,-80.42,1
31,16.3,122.11,1
36,16.56,-97.79,0
43,25.73,128.5,0
52,16.45,122.31,0
96,6.6,126.77,1
48,33.31,132.31,0
1,1.38,126.24,0
41,1.4,126.27,0
22,0.06,119.73,0
534,-10.2,159.9,0
33,1.17,126.14,1
25,34.15,59.01,1
14,34.09,58.24,1
32,-3.74,143.01,0
122,-8.62,-74.55,1
640,-21.57,-179.35,1
3,28.3,53.17,1
49,-6.08,148.77,1
103,10.76,-62.7,0
57,42.08,142.65,1
114,15.54,-92.65,1
12,-30.52,-178.01,1
151,-6.89,129.21,1
12,-3.65,143.37,1
66,-13.1,-76.37,1
0,49.82,78.18,1
45,-56.27,-27.07,0
10,-7.6,126.26,1
518,26.29,140.7,0
33,-39.85,87.74,1
18,-31.54,117,1
21,-3.38,143.29,0
49,-12.41,166.43,1
7,65.46,-150.07,0
1,1.2,126.34,0
596,-14.2,172.02,1
0,73.39,54.58,0
150,9.57,-72.63,1
49,40.3,142.39,1
15,-14.01,23.82,1
33,51.56,175.86,1
82,60.15,-152.82,0
79,-56.03,-27.57,1
71,-8.03,158.94,0
32,-10.57,164.46,0
138,-56.81,-26.93,0
238,44.89,143.21,0
114,-14.89,167.22,0
17,54.84,166,0
587,-21.87,-179.54,1
24,0.77,126.02,1
35,-17.15,-171.57,0
72,4.77,127.5,1
46,4.81,127.54,0
27,-8.07,-80.09,1
635,-22.75,178.76,0
3,41.42,79.24,1
425,-6.76,126.74,0
74,3.5,128.41,1
53,-3.17,118.91,1
14,35.97,-10.58,0
43,8.69,127.35,0
32,4.72,127.65,1
4,38.55,28.46,1
35,11.91,41.21,1
33,27.61,33.91,0
19,12,41.35,1
170,-6.11,129.91,1
38,-13.57,166.2,1
39,32.15,131.98,0
34,-30.5,-71.38,1
200,-16.71,-174.66,1
22,51.29,-179.85,0
22,34.43,25.04,1
52,49.41,155.54,0
66,-7.93,159.05,1
33,-52.53,159.7,1
41,53.31,-162.41,1
56,51.46,-179.95,0
44,52.21,158.95,1
6,38.43,119.47,1
54,-17.3,-72.48,1
1,-11.84,-75.1,1
531,-5.71,125.42,0
21,1.26,126.23,0
193,36.44,70.86,1
193,-6.14,129.69,1
8,43.46,147.91,1
45,43.59,147.63,1
41,43.44,147.82,0
38,43.61,147.18,0
0,43.63,146.5,0
0,43.72,147.8,1
33,43.78,147.48,0
44,1.81,126.41,0
70,43.45,147.98,0
46,43.14,147.44,0
320,21.57,143.1,1
49,43.17,147.46,1
34,25.12,-109.55,1
111,47.88,153.75,0
31,-8.89,157.95,1
17,-8.98,157.91,1
38,51.27,-179.17,1
39,31.08,131.43,0
37,15.3,-45.78,1
36,-60.9,-55.9,1
43,-11.75,-75.15,1
0,73.39,54.5,0
124,23.09,94.7,0
43,51.31,-179.23,0
7,34.77,-121.35,1
57,-16.11,-173.87,1
31,-53.37,23.6,1
22,51.26,-178.95,0
11,34.72,-121.28,1
74,27.8,60.02,0
20,1.94,94.61,0
51,57.7,163.56,0
113,37.16,71.64,1
0,49.94,78.98,0
0,43.79,54.75,1
51,1.99,126.94,0
31,8.2,58.49,1
329,46.21,142.45,1
1,15.79,-59.64,0
6,16.08,-59.79,1
62,28.55,129.15,1
15,24.12,102.49,1
189,-34.85,178.79,0
68,6.8,126.75,1
82,-25.85,-177.29,0
25,42.48,143.04,0
23,7.03,-104.24,0
18,15.57,-99.48,1
8,12.58,122.09,1
36,-9.84,-75.55,1
83,9.8,125.91,1
24,30.61,103.05,1
7,50.13,-179.59,0
161,52.59,-175.04,0
21,12.15,143.82,0
39,-19.07,168.54,0
44,44.65,148.99,0
16,57.39,-153.97,0
99,-29.6,-69.42,1
8,51.34,173.75,1
3,-22.08,126.65,0
11,0.28,119.37,0
59,-6.26,154.62,1
18,39.21,29.51,0
232,-17.07,168.56,0
82,6.78,126.66,1
75,39.78,141.91,1
40,15.78,121.71,0
23,38.34,22.56,1
25,15.08,122.01,1
243,-18.79,169.29,0
12,52.93,171.45,1
56,14.65,-92.59,1
37,14.61,-93.29,1
196,-4.37,151.81,1
12,50.19,91.24,1
6,-55.92,-28.07,0
406,27.22,140.29,0
85,-11.73,166.38,1
48,-9.15,-78.83,0
54,-9.93,-78.46,0
45,-9.28,-79.05,1
43,-10.22,-78.69,1
48,-9.88,-78.69,1
24,42.48,78.71,1
53,44.72,149.46,1
87,-24.47,-68.46,0
64,-58.86,157.6,0
32,-2.9,139.08,1
10,-51.94,-74.14,1
99,-16,-71.88,1
44,-22.28,-70.55,0
72,-7.9,158.68,1
50,-8.75,124.04,0
587,-21.66,-179.42,1
55,-10.14,-78.6,1
148,18,-64.67,1
44,51.35,-178.51,1
47,32.26,131.78,0
47,32.31,131.83,0
73,-37.73,177.66,1
68,26.02,95.37,0
653,-1.46,-72.56,0
17,1.16,126.2,1
46,-13.92,166.65,1
20,-14.13,166.56,0
45,-60.63,-25.27,1
43,-13.89,166.53,1
92,-9,117.95,1
30,60.7,-145.38,1
33,-56.46,-142.61,1
76,-4.6,153.22,0
643,52.36,151.64,0
39,17.7,147.65,0
50,13,144.5,1
42,-6.5,154.63,1
8,6.37,-77.48,0
6,6.52,-77.4,1
60,-13.52,166.59,0
32,-3.56,86.19,1
7,-31.94,-177.89,0
33,-32,-178.1,1
124,-4.1,143.1,1
0,73.31,54.89,0
37,39.25,140.71,1
45,-4.97,145.45,0
33,-3.43,135.65,0
22,-5.1,145.13,0
80,-6.05,148.55,1
39,43.46,146.94,1
16,-20.94,-69.81,1
119,-4.11,142.88,1
10,-11.02,163.45,0
25,-11.03,163.41,1
29,-23.19,-70.11,1
39,41.79,143.5,1
183,29.79,140.11,0
46,-30.81,-71.16,1
15,-3.97,-80.66,0
0,43.87,54.78,0
46,-1.59,99.95,1
0,43.81,54.82,0
63,-5.23,153.59,0
70,-10.58,161.39,0
41,-3.21,139.69,0
3,-2.95,139.64,1
40,-3.06,139.62,0
34,-3.31,139.76,1
39,-3.01,139.62,1
52,-3.24,139.84,1
18,-3.31,139.91,0
22,-3.37,139.91,1
55,-3.08,139.45,0
33,-3.41,139.55,1
134,-3.63,139.44,1
31,-9.65,151.4,1
45,51.46,-177.71,1
515,51.69,150.97,0
57,-2.89,139.38,1
40,0.53,98.72,0
40,51.47,-176.81,1
12,-63.43,-61.36,0
9,34.4,-118.43,0
166,-23.81,-67.2,0
115,-5.75,145.39,0
21,-10.93,163.8,1
20,8.43,127.23,1
49,-22.96,-176.14,0
29,70.97,-6.86,1
14,41.42,79.2,1
92,4.76,126.52,0
0,60.33,-140.94,1
33,37.3,71.07,1
49,38.41,142.18,1
67,-0.36,124.73,0
150,53.26,-170.53,1
29,2.45,129.13,0
74,-4.42,102.32,0
37,28.3,55.61,0
0,49.77,78.08,1
38,51.41,-177.21,0
46,-6.54,105.37,1
146,-42.28,-71.79,1
29,-39.78,-104.87,0
42,7.99,126.95,1
0,63.92,146.1,1
3,38.85,40.52,1
35,18.02,-69.79,0
19,51.67,176.04,1
76,-25.4,-69.06,0
34,-5.26,153.46,1
54,-6.23,154.45,0
0,-5.18,96.89,1
58,-5.97,144.38,0
92,-7.03,129.7,0
40,-32.51,-71.21,0
36,-32.19,-71.72,1
43,-5.52,153.87,0
48,-4.86,153.32,1
37,-5.78,153.8,1
36,52.13,173.03,1
43,-4.93,153.18,0
41,39.81,77.22,1
74,-5.4,152.07,1
33,-5.53,151.84,1
77,-5.16,152.26,0
48,-5.7,151.96,0
23,-5.81,151.55,0
49,-5.86,151.31,0
88,-2.79,-77.35,0
59,-4.89,153.34,1
25,-5.14,152.87,1
45,41.37,143.44,0
43,-0.85,-22.07,0
60,-5.88,154.31,1
43,-5.74,152.13,1
32,49.29,155.49,0
9,13.3,-92.41,1
33,-55.73,-26.04,1
14,46.54,141.15,0
21,46.76,141.39,0
27,46.28,141.03,1
7,44.34,150.85,0
29,-20.41,-174.17,1
22,-6.46,151.55,0
4,-6.79,151.8,1
30,39.17,143.4,1
107,-5.93,130.68,0
111,-6.54,146.64,0
70,-0.02,124.84,1
0,73.39,54.91,0
27,46.41,141.16,1
148,3.63,125.92,1
30,-0.45,-4.89,0
52,-6.55,154.97,1
111,-5.42,154.28,1
26,11.83,142.52,1
50,-6.49,151.18,1
21,11.86,142.38,0
21,11.86,142.35,0
49,-15.57,167.24,0
45,-5.93,154.05,0
107,-5.57,153.99,1
66,-5.95,153.84,1
53,10.11,92.93,1
533,-23.45,-179.88,0
119,-11.87,166.55,0
135,-11.94,166.57,1
99,52.85,159.22,0
33,-55.19,-128.87,1
99,-29.86,-69.5,1
38,44.77,153.33,0
77,-6.02,154.56,1
39,56.04,163.17,0
0,47.9,48.07,0
116,-4.75,151.84,1
11,-16.85,174.9,1
6,22.5,122.08,1
166,-4.6,151.86,1
29,-30.65,-177.82,1
12,-2.09,138.96,1
36,20.95,120.26,0
56,-55.72,-28.75,0
23,-4.84,145.1,1
37,-4.74,145,1
214,36.4,70.72,1
33,-13.18,166.32,1
12,-3.54,151.29,1
29,22.55,122.37,0
34,23.05,122.14,0
127,-19.38,169.13,0
45,19.36,122.06,1
5,-15.36,-173.3,1
101,-11.43,166.37,0
60,-17.62,-71.27,1
40,-60.59,-25.5,1
50,33.38,140.97,0
52,33.48,141.05,1
12,-18.94,-173.72,1
54,33.45,141,1
181,-28.25,-178.27,0
29,-3.74,131.39,1
37,33.6,141.38,1
72,40.84,141.98,1
52,-6.79,-76.76,0
43,51.27,-179.21,0
135,49.05,153.6,0
33,-45.1,166.68,1
43,56.14,-157.14,0
124,48.04,153.13,1
40,43.33,146.03,1
479,-25.69,179.58,0
33,-49.35,164.09,0
1,-16.05,-173,1
376,-7.47,125.56,0
33,-53.52,159.08,1
21,42.09,84.58,1
11,28.39,52.78,0
0,0.99,-28.3,0
48,24.1,122.44,1
91,53.95,-166.82,1
116,-31.4,-110.99,1
29,23.6,121.55,0
38,13.38,120.34,0
413,-5.13,154.23,0
30,5.22,-100.32,1
46,-15.94,167.53,0
14,35.16,23.56,1
38,-4.21,152.71,1
565,-17.82,-178.79,1
342,-27.74,-178.99,1
36,16.61,122.19,1
208,-17.76,-175.06,0
45,-11.05,116.97,0
39,-30.34,-71.58,1
336,3.86,124.26,0
27,53.25,-166.78,1
66,-7.12,155.87,1
47,36.28,69.69,1
31,50.1,-129.3,1
29,56.77,-135.91,0
19,30.71,141.82,1
92,2.35,127.56,1
47,49.13,155.97,1
10,-11.1,162.17,1
20,-16.66,-172.01,1
45,51.34,-179.29,1
43,-6.29,144.46,1
26,-6.04,152.9,0
22,-6.05,152.63,1
53,-5.15,134.09,0
573,49.47,147.08,1
115,-33.49,-179.4,1
0,73.39,54.65,0
122,-14.99,167.3,1
51,29.41,130.64,0
45,35.94,73.33,0
64,-11.78,166.31,0
154,1.9,128.2,1
49,-19.89,169.08,0
107,-2.52,119.22,1
0,71.42,-10.39,1
48,-15.35,-175.6,1
75,37.96,22.38,1
30,-20.36,168.89,1
20,15.23,-96.26,0
23,-9.93,119.6,1
0,19.55,-70.22,1
33,-6.22,131.15,0
33,-6.56,131.3,1
7,-30.91,-68.21,1
10,-16.47,-172.17,1
632,7.46,123.77,0
119,1.81,127.45,1
35,52.89,-162.98,0
33,-8.79,124.98,0
63,27.48,128.57,0
2,-7.33,146.83,1
0,49.91,78.85,0
37,-20.03,168.91,0
22,23.87,121.61,1
111,38.33,73.17,1
0,-6.72,154.53,1
73,6.41,126.62,0
62,33.34,140.82,0
0,-1.52,136.67,0
0,49.97,78.95,0
16,44.68,149.37,1
83,-7,155.81,1
139,-7.5,127.83,0
159,-4.35,153.45,0
61,-30.51,-71.08,1
147,-39.02,175.23,0
24,-14.66,166.41,0
38,-6.88,150.03,0
90,-12.1,166.52,0
112,-0.14,124,1
48,18.53,-102.93,0
508,28.22,139.3,1
214,-22.53,-66.19,0
5,31.33,100.49,1
35,31.5,100.33,1
42,22.27,121.52,1
53,-19.16,168.69,1
41,-61.1,-38.01,0
62,50.51,156.58,0
24,54.73,161.7,1
25,6.32,127.38,1
56,-3.01,139.08,1
62,50.78,157.19,0
11,2.18,126.65,1
193,-19.41,169.39,1
44,13.41,122.87,1
33,2.09,126.55,1
51,29.3,130.41,1
146,4.7,-75.67,0
39,7,91.33,1
38,-15.81,167.24,1
15,-9.81,119.29,1
46,50.86,157.43,0
20,4.96,-78.12,0
19,-59.38,-26.12,0
9,20.05,-155.16,1
15,-10.01,150.2,0
33,2.25,126.74,1
48,-1.46,99.8,1
0,-6.34,151.18,1
23,-6.26,151.86,1
0,53.97,-163.71,0
1,24.31,93.52,1
33,-54,159.35,1
91,-10.31,161.42,0
0,-6.73,154.81,1
55,-7.27,156.14,1
33,53.61,161.38,1
44,51.27,-179.38,1
0,44.98,-125.87,1
41,43.12,145.74,0
39,42.92,146.39,1
11,42.65,146.08,0
0,-5.88,151.86,0
26,43.28,146.43,0
19,43.14,146.89,1
45,19.11,121.19,1
10,43.01,146.66,1
56,43.28,145.81,1
30,57.86,-137.42,0
56,12.21,125.29,0
0,57.99,-138.04,0
22,35.16,86.4,1
49,36.45,141.05,1
373,-24.83,-179.19,1
0,49.94,78.85,0
203,-14.33,167.29,0
33,-16.22,-173.08,0
44,43.38,146.46,1
109,-4.5,144.1,1
346,-31.38,-179.38,0
33,57.09,-154.12,1
55,-7.22,156.08,1
75,18.25,-96.58,0
77,-0.15,-17.97,1
45,-37.27,179.32,1
43,7.15,84.33,1
552,42.48,131.05,1
0,73.32,54.97,0
64,9.2,126.19,1
128,-7.02,-76.19,1
542,9.23,123.92,1
33,-4.4,-102.1,0
33,-4.37,-102.04,0
33,-54.97,146.25,1
0,70.8,53.42,1
567,41.93,130.99,0
56,35.67,140.64,1
33,-32.98,-71.87,1
33,-61.05,-21.7,0
28,-14.34,167.06,1
32,0.52,-29.47,1
56,19.42,-104.98,0
517,-21.95,-63.65,0
0,70.8,53.92,0
48,-2.96,139.34,1
7,-25.98,-67.72,1
18,51.52,-175.27,1
60,49.99,156.33,1
270,-31.2,-179.47,1
62,49.99,156.31,1
56,38.98,141.93,0
45,53.61,160.49,1
124,-15.18,167.43,0
23,-35.59,-74.54,1
42,43.25,146.75,1
26,-19.9,169.66,1
0,50.03,79.02,1
52,51.38,-177.85,1
42,-9.52,119.39,0
191,-20.61,-176.32,1
517,-23.88,180,0
13,-14.56,166.8,0
43,-15.13,166.91,0
41,-14.92,166.48,1
10,-15.37,166.54,1
83,-22.49,-68.26,0
92,-12.28,-76.3,0
24,-38.84,46.43,1
36,-14.45,166.87,0
27,42.03,143.89,1
51,-5.15,134.15,1
32,-7.39,155.92,1
33,-7,155.78,1
12,-7.28,155.63,0
21,18.93,120.13,1
39,-5.13,133.91,1
46,-7.35,155.82,1
7,53.74,-164.7,1
10,-3.79,134.01,1
391,33.17,136.98,1
46,44.01,147.78,1
37,1.27,97.63,0
34,9.51,-83.95,1
19,-20.02,169.77,0
47,-7.48,156.2,1
57,-7.48,156.01,1
154,48.31,153.16,1
25,-14.91,-172.83,1
504,-23.93,179.88,0
74,12.57,144.24,1
23,57.56,-153.92,1
8,55.15,-160.57,1
6,55.05,-160.51,0
44,-26.28,-175.78,0
386,-31.55,179.79,0
33,-33.49,-177.31,0
10,34.57,138.75,1
33,-4.3,-102.07,1
17,28.19,103.98,1
43,1.87,126.48,0
26,19.73,147.34,0
58,49.98,156.22,0
100,-11.17,-75.01,1
141,-6.55,106.77,1
13,-17.68,167.8,1
7,-17.62,167.53,0
0,49.91,78.91,1
256,-15.89,-175.04,0
397,-31.88,179.94,0
52,-56.03,-27.47,1
0,-2.25,141.1,1
20,-26.02,84.3,0
68,-4.72,152.56,1
33,-29.22,-175.94,0
77,-29.37,-176.13,0
16,45.2,93.86,1
45,36.44,141.17,0
12,7.76,-77.57,0
10,7.74,-77.54,1
50,46.22,153.14,0
46,46.01,152.88,1
210,36.42,70.76,0
7,39.34,73.77,0
26,39.46,73.63,1
19,-38.34,-73.27,1
45,32.18,142.37,1
0,73.41,54.93,0
34,18.27,119.2,1
62,-4.26,143.55,1
60,-9.8,108.49,0
40,55.25,162,1
331,-30.54,-178.03,1
105,-6.2,146.1,1
41,-0.28,12.83,1
5,43.12,146.56,0
9,-12.24,-77.58,0
41,17.37,-61.99,0
34,44.64,150.09,0
596,-17.97,-178.49,1
18,-8.4,154.03,0
33,-15.49,167.1,0
156,-6.93,129.52,0
0,70.81,53.91,0
125,42.53,141.75,1
6,-12.44,-77.46,0
55,-6.44,105.38,0
31,-15.91,-178.47,1
58,2.27,121.06,1
44,35.85,141.1,1
62,-15.12,167.16,0
36,-53.59,-28.26,1
29,-6.06,154.23,0
58,-15.24,167.3,1
429,30.71,138.44,0
32,-6.15,153.05,1
32,-5.04,129.99,0
20,0.51,97.89,1
156,-7.65,-74.46,0
32,-2.3,99.01,1
7,51.66,174.59,1
45,35.05,72.91,1
58,61.92,-149.72,1
74,-2.99,101.68,1
82,-4.93,130.09,0
99,-17.86,-174.57,1
1,32.38,78.5,0
49,31.94,78.53,1
6,35.05,141.37,1
40,7.18,-77.76,0
2,53,173.47,1
10,53.08,173.58,0
16,40.66,122.63,0
9,-7.24,149.58,0
43,51.32,-179.44,0
333,-24.98,-178.88,0
72,-6.07,148.21,1
574,-17.84,-178.53,1
7,-2.39,126.15,0
31,27.47,56.24,1
28,-29.89,-71.4,0
86,-21.75,170.53,0
111,-4.26,-77.01,0
29,22.68,122.84,0
429,-32.36,179.88,1
5,42.04,-112.41,1
131,-4.06,152.75,0
33,-50.84,139.19,1
93,-14.79,-72.66,1
15,71.49,-10.36,0
31,-36.41,-98.82,1
17,16.47,-98.86,1
472,-31.79,-179.51,1
33,35.8,79.86,1
24,37.2,142.09,1
30,-38.03,-72.78,0
37,1.03,126.02,1
1,22.7,122.61,1
34,35.98,-17.56,0
97,0.75,122.61,0
647,-20.61,-179.14,1
59,-4.5,153.53,1
0,44.39,146.87,1
72,43.26,147.39,1
42,36.31,143.3,0
65,43.51,147.65,0
39,-3.1,148,0
53,30.07,142.15,1
549,38.78,130.09,0
112,21.42,94.62,1
20,32.84,142.43,1
81,6.51,126.65,1
88,-10.34,161.2,1
54,-6.64,155.09,0
49,-7.15,155.21,0
58,-6.63,154.66,0
63,-6.84,155.41,0
93,-9.84,123.96,1
46,53.48,-161.39,0
33,-2.51,146.03,0
187,-22.73,-66.62,0
53,-6.9,147.77,1
41,54.92,167.87,1
0,73.34,54.5,0
68,10.04,125.86,1
65,-10.13,121.7,1
32,38.51,40.77,0
66,7.05,-104.18,0
27,-34.74,81.88,1
12,-20.45,-173.96,0
123,-9.49,-74.65,1
47,-4.83,102.24,0
19,-4.83,102.04,1
69,-12.54,166.47,0
23,0.91,-26.71,0
128,-15.4,167.55,0
11,-24.91,-175.16,0
